timestamp,cpu_percent,rss_mb
1785751124.830,0.00,36.56
1785751126.832,3.00,37.12
1785751128.833,4.50,39.38
1785751130.836,5.50,39.38
1785751132.837,5.00,39.56
1785751134.840,5.00,39.56
1785751136.842,5.00,39.56
1785751138.844,5.50,39.56
1785751140.845,5.00,39.56
1785751142.848,5.50,39.56
1785751144.849,5.50,39.56
1785751146.851,5.50,39.56
1785751148.853,5.00,39.14
1785751150.855,5.00,39.33
1785751152.857,4.50,39.39
1785751154.859,5.50,39.57
1785751156.861,5.00,39.69
1785751158.864,5.50,39.69
1785751160.865,5.00,39.57
1785751162.868,5.50,39.39
1785751164.869,5.00,39.82
1785751166.872,5.50,40.01
1785751168.873,5.50,39.62
1785751170.876,5.00,39.82
1785751172.877,5.50,39.64
1785751174.880,5.00,39.91
1785751176.881,6.00,40.09
1785751178.884,5.50,40.14
1785751180.885,5.50,40.14
1785751182.888,5.00,40.09
1785751184.889,5.50,40.09
1785751186.891,5.50,40.09
1785751188.893,6.00,39.76
1785751190.893,6.00,40.07
1785751192.896,5.00,39.66
1785751194.897,5.50,39.79
1785751196.900,5.00,39.98
1785751198.901,5.00,39.98
1785751200.904,5.50,39.98
1785751202.905,5.50,40.32
1785751204.908,5.50,40.04
1785751206.909,7.00,40.04
1785751208.912,5.00,40.15
1785751210.913,6.50,39.73
1785751212.916,5.50,40.10
1785751214.917,6.50,40.20
1785751216.918,5.00,40.14
1785751218.918,5.50,40.39
1785751220.920,6.00,40.28
1785751222.922,5.00,39.88
1785751224.922,5.00,40.26
1785751226.923,5.50,40.26
1785751228.925,5.00,39.93
1785751230.928,5.50,40.49
1785751232.929,5.00,40.49
1785751234.932,6.50,41.99
1785751236.933,5.50,42.18
1785751238.936,5.50,42.18
1785751240.937,5.50,42.18
1785751242.940,5.00,42.18
1785751244.941,6.00,42.18
1785751246.942,5.50,42.18
1785751248.944,6.00,42.18
1785751250.945,5.00,42.18
1785751252.948,5.50,42.18
1785751254.949,5.50,42.18
1785751256.952,6.00,42.18
1785751258.953,6.00,43.25
1785751260.956,5.50,43.25
1785751262.957,5.50,43.25
1785751264.960,6.00,43.25
1785751266.961,6.00,43.43
1785751268.963,6.00,43.43
1785751270.965,5.50,43.43
1785751272.967,5.00,43.43
1785751274.969,6.00,43.43
1785751276.972,6.00,43.43
1785751278.973,6.00,43.43
1785751280.976,5.50,43.43
1785751282.977,5.00,43.43
1785751284.979,5.50,43.43
1785751286.981,5.50,43.43
1785751288.981,5.50,43.43
1785751290.983,5.00,43.43
1785751292.985,5.50,43.43
1785751294.988,6.00,43.43
1785751296.989,6.00,43.62
1785751298.990,6.00,43.62
1785751300.991,5.00,43.62
1785751302.993,6.50,43.62
1785751304.995,5.50,43.62
1785751306.997,5.50,43.62
1785751309.000,5.00,43.62
1785751311.001,5.50,43.62
1785751313.004,5.50,43.62
1785751315.005,5.50,43.62
1785751317.008,5.00,43.62
1785751319.009,6.00,43.81
1785751321.012,5.00,43.81
1785751323.013,5.50,43.81
1785751325.016,5.50,43.81
1785751327.018,5.00,43.81
1785751329.019,6.00,43.81
1785751331.021,6.00,43.81
1785751333.021,5.00,43.81
1785751335.024,6.00,45.50
1785751337.025,6.00,45.68
1785751339.028,5.00,46.43
