map_name,run,goal_index,goal_name,success,navigation_time_s,recovery_count,min_scan_range_m,failure_reason
slam_toolbox,1,1,走廊东端（开阔）,no,0.03,0,99.000,FAILED
slam_toolbox,1,2,R2 房间内（U 形障碍）,no,0.02,0,99.000,FAILED
slam_toolbox,1,3,R1 窄门口另一侧,no,0.02,0,99.000,FAILED
slam_toolbox,1,4,R3 西南角（遮挡区）,no,10.70,1,0.300,FAILED
slam_toolbox,1,5,回起点,no,0.02,0,99.000,FAILED
slam_toolbox,2,1,走廊东端（开阔）,no,0.02,0,99.000,FAILED
slam_toolbox,2,2,R2 房间内（U 形障碍）,no,0.02,0,99.000,FAILED
slam_toolbox,2,3,R1 窄门口另一侧,no,0.02,0,99.000,FAILED
slam_toolbox,2,4,R3 西南角（遮挡区）,no,13.47,5,0.615,FAILED
slam_toolbox,2,5,回起点,yes,14.16,7,0.505,
slam_toolbox,3,1,走廊东端（开阔）,no,48.66,22,0.300,FAILED
slam_toolbox,3,2,R2 房间内（U 形障碍）,no,30.96,21,0.300,FAILED
slam_toolbox,3,3,R1 窄门口另一侧,yes,40.67,3,0.300,
slam_toolbox,3,4,R3 西南角（遮挡区）,no,119.06,19,0.300,FAILED
slam_toolbox,3,5,回起点,no,26.25,15,0.300,FAILED
cartographer,1,1,走廊东端（开阔）,no,40.68,19,0.300,FAILED
cartographer,1,2,R2 房间内（U 形障碍）,no,81.98,17,0.306,FAILED
cartographer,1,3,R1 窄门口另一侧,no,36.99,15,0.300,FAILED
cartographer,1,4,R3 西南角（遮挡区）,no,21.99,15,0.474,FAILED
cartographer,1,5,回起点,no,51.00,17,0.300,FAILED
cartographer,2,1,走廊东端（开阔）,no,86.48,16,0.300,FAILED
cartographer,2,2,R2 房间内（U 形障碍）,no,22.00,15,0.330,FAILED
cartographer,2,3,R1 窄门口另一侧,yes,11.38,0,0.343,
cartographer,2,4,R3 西南角（遮挡区）,no,90.61,27,0.300,FAILED
cartographer,2,5,回起点,no,27.00,22,0.300,FAILED
cartographer,3,1,走廊东端（开阔）,no,30.48,15,0.300,FAILED
cartographer,3,2,R2 房间内（U 形障碍）,no,50.02,15,0.341,FAILED
cartographer,3,3,R1 窄门口另一侧,yes,11.61,0,0.341,
cartographer,3,4,R3 西南角（遮挡区）,no,35.40,17,0.378,FAILED
cartographer,3,5,回起点,yes,82.96,6,0.371,
