timestamp,cpu_percent,rss_mb
1785750492.883,0.00,33.91
1785750494.885,2.50,38.04
1785750496.887,2.50,38.60
1785750498.890,2.50,38.79
1785750500.892,1.50,38.79
1785750502.894,3.00,38.79
1785750504.896,3.00,40.47
1785750506.897,3.00,40.47
1785750508.900,2.00,40.66
1785750510.901,3.00,40.66
1785750512.904,2.50,40.85
1785750514.905,3.00,40.85
1785750516.908,2.50,40.85
1785750518.909,3.00,40.85
1785750520.912,2.00,40.85
1785750522.913,2.00,40.85
1785750524.916,2.50,40.85
1785750526.917,2.00,40.85
1785750528.920,3.00,40.85
1785750530.921,2.00,40.85
1785750532.924,3.00,40.85
1785750534.925,2.50,40.85
1785750536.928,3.50,40.85
1785750538.929,2.00,40.85
1785750540.932,3.50,41.41
1785750542.933,2.00,41.41
1785750544.934,3.00,41.41
1785750546.936,3.00,41.41
1785750548.937,2.00,41.41
1785750550.940,3.50,41.41
1785750552.941,2.50,41.41
1785750554.943,2.00,41.41
1785750556.945,2.00,41.41
1785750558.948,3.50,41.60
1785750560.950,2.00,41.60
1785750562.952,3.50,41.60
1785750564.953,3.50,41.60
1785750566.956,2.00,41.60
1785750568.957,2.50,41.60
1785750570.959,3.50,41.60
1785750572.961,2.50,41.60
1785750574.964,3.00,41.79
1785750576.965,3.00,41.79
1785750578.968,3.00,41.79
1785750580.969,3.00,41.79
1785750582.972,2.50,41.79
1785750584.973,2.00,41.79
1785750586.976,2.50,41.79
1785750588.977,3.00,41.79
1785750590.980,2.50,41.79
1785750592.981,3.50,41.79
1785750594.984,3.00,41.97
1785750596.985,2.50,41.97
1785750598.988,2.00,41.97
1785750600.989,2.00,41.97
1785750602.992,4.00,41.97
1785750604.993,2.00,41.97
1785750606.996,3.50,42.16
1785750608.998,3.50,42.16
1785750611.000,2.00,42.16
1785750613.001,2.50,42.16
1785750615.004,10.50,43.57
1785750617.005,2.00,43.57
1785750619.008,4.00,43.57
1785750621.009,2.50,43.57
1785750623.012,3.00,43.57
1785750625.013,2.50,43.57
1785750627.016,3.50,43.57
1785750629.018,2.50,43.57
1785750631.020,2.50,43.57
1785750633.021,3.00,43.57
1785750635.024,2.50,43.57
1785750637.025,3.50,43.57
1785750639.028,2.00,43.57
1785750641.029,2.50,43.57
1785750643.031,3.00,43.57
1785750645.033,2.50,43.57
1785750647.036,2.50,43.57
1785750649.037,3.00,43.76
1785750651.039,2.50,43.76
1785750653.041,3.50,43.76
1785750655.043,2.50,43.76
1785750657.045,3.00,43.95
1785750659.046,2.00,43.95
1785750661.048,2.50,43.95
1785750663.050,3.50,43.95
1785750665.052,3.00,43.95
1785750667.053,3.00,43.95
1785750669.056,2.00,43.95
1785750671.057,3.50,44.13
1785750673.060,2.50,44.13
1785750675.061,3.50,44.13
1785750677.062,2.50,44.13
1785750679.064,3.00,44.13
1785750681.065,2.00,44.13
1785750683.068,4.00,44.13
1785750685.069,2.50,44.13
1785750687.072,2.00,44.13
1785750689.073,2.50,44.13
1785750691.076,2.00,44.13
1785750693.078,2.50,44.13
1785750695.078,2.50,44.13
1785750697.081,2.50,44.13
1785750699.081,2.50,44.13
1785750701.084,3.50,44.13
